房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
29,22.75,247473.00,22.57,249447.00,5630011.00,在售,商业
28,20.26,315400.00,20.10,317911.00,6390004.00,在售,商业
27,20.26,309970.00,20.10,312437.00,6279992.00,在售,商业
26,33.79,244747.00,33.52,246718.00,8270001.00,在售,商业
25,33.85,294535.00,33.58,296903.00,9970010.00,在售,商业
24,33.88,276269.00,33.61,278488.00,9359994.00,在售,商业
23,33.88,270366.00,33.61,272538.00,9160000.00,在售,商业
22,33.85,269424.00,33.59,271509.00,9120002.00,在售,商业
21,33.85,269129.00,33.59,271212.00,9110017.00,在售,商业
20,36.79,270454.00,36.50,272603.00,9950003.00,在售,商业
19,34.28,299592.00,34.02,301882.00,10270014.00,在售,商业
18,26.92,223254.00,26.45,227221.00,6009998.00,在售,商业
17,38.19,219953.00,37.52,223881.00,8400005.00,在售,商业
16,38.85,219820.00,38.17,223736.00,8540007.00,在售,商业
15,26.86,223380.00,26.39,227358.00,5999987.00,在售,商业
14,59.11,215700.00,58.08,219525.00,12750027.00,在售,商业
13,35.34,218166.00,34.72,222062.00,7709986.00,在售,商业
12,54.36,229029.00,53.93,230855.00,12450016.00,在售,商业
11,33.02,249243.00,32.77,251144.00,8230004.00,在售,商业
10,33.04,292070.00,32.78,294387.00,9649993.00,在售,商业
09,33.06,290986.00,32.81,293203.00,9619997.00,在售,商业
08,70.62,244973.00,70.07,246896.00,17299993.00,在售,商业
07,27.97,286021.00,27.75,288289.00,8000007.00,在售,商业
06,27.79,258366.00,27.58,260333.00,7179991.00,在售,商业
05,27.39,301935.00,27.17,304380.00,8270000.00,在售,商业
04,23.21,208962.00,23.03,210595.00,4850008.00,在售,商业
03,36.84,202769.00,36.56,204322.00,7470010.00,在售,商业
02,41.81,200431.00,41.48,202026.00,8380020.00,在售,商业
01,27.41,206129.00,27.20,207720.00,5649996.00,在售,商业
6栋5303,191.10,85332.00,143.43,113693.00,16306945.00,在售,住宅
6栋5301,151.38,81895.00,113.62,109112.00,12397265.00,在售,住宅
6栋5205,89.69,91943.00,67.31,122513.00,8246368.00,在售,住宅
6栋5204,89.69,92664.00,67.31,123474.00,8311034.00,在售,住宅
6栋5203,191.10,85332.00,143.43,113693.00,16306945.00,在售,住宅
6栋5202,151.38,85139.00,113.62,113434.00,12888342.00,在售,住宅
6栋5201,151.38,81895.00,113.62,109112.00,12397265.00,在售,住宅
6栋5105,89.69,91943.00,67.31,122513.00,8246368.00,在售,住宅
6栋5104,89.69,92664.00,67.31,123474.00,8311034.00,在售,住宅
6栋5103,191.10,85332.00,143.43,113693.00,16306945.00,在售,住宅
6栋5102,151.38,85139.00,113.62,113434.00,12888342.00,在售,住宅
6栋5101,151.38,81895.00,113.62,109112.00,12397265.00,在售,住宅
6栋5005,89.69,91943.00,67.31,122513.00,8246368.00,在售,住宅
6栋5004,89.69,92664.00,67.31,123474.00,8311034.00,在售,住宅
6栋5003,191.10,85332.00,143.43,113693.00,16306945.00,在售,住宅
6栋5002,151.38,85139.00,113.62,113434.00,12888342.00,在售,住宅
6栋5001,151.38,81895.00,113.62,109112.00,12397265.00,在售,住宅
6栋4905,89.69,91943.00,67.31,122513.00,8246368.00,在售,住宅
6栋4904,89.69,92664.00,67.31,123474.00,8311034.00,在售,住宅
6栋4903,191.10,85332.00,143.43,113693.00,16306945.00,在售,住宅
6栋4902,151.38,85139.00,113.62,113434.00,12888342.00,在售,住宅
6栋4901,151.38,81895.00,113.62,109112.00,12397265.00,在售,住宅
6栋4805,89.69,91943.00,67.31,122513.00,8246368.00,在售,住宅
6栋4804,89.69,92664.00,67.31,123474.00,8311034.00,在售,住宅
6栋4803,191.10,85332.00,143.43,113693.00,16306945.00,在售,住宅
6栋4802,151.38,85139.00,113.62,113434.00,12888342.00,在售,住宅
